"ID"	"Group"	"YOB"	"Age"	"Gender"	"Sex"	"IndividScore"	"Est_Score"	"Overconfidence"	"Group_Quiz_Score"	"Group_Bonus_Score"	"Nominated"	"mode_influential"	"initial_influential"	"mode_learn"	"intial_learn"
"138"	148	30	"1978"	"40"	"F"	"1"	32	"23"	"-9"	33	3	0	148	1	0	0
"139"	149	30	"1984"	"34"	"F"	"1"	34	"25"	"-9"	33	3	0	148	0	0	0
"140"	150	30	"1984"	"34"	"M"	"0"	30	"40"	"10"	33	3	0	148	0	0	0
"141"	151	31	"1956"	"62"	"M"	"0"	28	"20"	"-8"	36	3	0	155	0	155	0
"142"	152	31	"1957"	"61"	"M"	"0"	28	"19"	"-9"	36	3	0	155	0	155	0
"143"	153	31	"1961"	"57"	"M"	"0"	31	"20"	"-11"	36	3	0	155	0	155	0
"144"	154	31	"1967"	"51"	"F"	"1"	26	"27"	"1"	36	3	0	155	0	155	0
"145"	155	31	"1952"	"66"	"M"	"0"	36	"30"	"-6"	36	3	1	155	1	155	1
"146"	156	32	"1994"	"24"	"M"	"0"	30	"26"	"-4"	32	2	0	159	0	0	0
"147"	157	32	"1995"	"23"	"F"	"1"	29	"30"	"1"	32	2	0	159	0	0	0
"148"	158	32	"1995"	"23"	"F"	"1"	30	"29"	"-1"	32	2	0	159	0	0	0
"149"	159	32	"1995"	"23"	"M"	"0"	30	"31"	"1"	32	2	1	159	1	0	0
"150"	160	32	"1997"	"21"	"M"	"0"	26	"18"	"-8"	32	2	0	159	0	0	0
