"","Rater_ID","Name","position","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R2rev","R6rev","R10rev","R12rev","R17rev","dominanceMean","prestigeMean","Psum","Pprop","Dsum","Dprop"
"103",117,"George Orwell","Author",3,5,1,7,1,5,1,4,1,1,7,7,4,4,1,6,5,3,3,7,1,3,3.125,3.55555555555556,32,0.425925925925926,25,0.354166666666667
"104",118,"Brother Roger","Late Friar of Taize",7,1,1,6,1,1,1,7,1,4,1,7,5,7,6,1,1,7,7,4,1,7,1.375,6.55555555555556,59,0.925925925925926,11,0.0625
"105",119,"Bob Devereux","Poet, Playwrite",4,5,3,4,7,1,4,5,3,6,7,6,6,6,4,1,4,3,7,2,2,4,3.625,4.77777777777778,43,0.62962962962963,29,0.4375
"106",120,"Johnny Depp","Celebrity",5,2,1,7,2,2,4,7,4,3,1,2,6,6,1,5,1,6,6,5,6,7,3.5,5.66666666666667,51,0.777777777777778,28,0.416666666666667
"107",121,"Shinzo Abe","Prime minister of Japan",3,5,5,4,6,4,6,4,6,3,2,3,6,6,4,4,4,3,4,5,5,4,4.875,4.22222222222222,38,0.537037037037037,39,0.645833333333333
"108",122,"Beppe Grillo","Politician",6,6,7,6,7,5,6,6,7,1,2,1,6,5,5,2,4,2,3,7,7,4,5.625,4.77777777777778,43,0.62962962962963,45,0.770833333333333
"109",124,"David Attenborough","Presenter/ecologist",6,1,3,6,3,1,1,7,3,4,3,4,7,7,7,1,1,7,7,4,4,7,2.75,6.77777777777778,61,0.962962962962963,22,0.291666666666667
"110",125,"Eddie Calvo","Govenor of Guam",5,6,7,7,5,2,4,6,6,5,4,2,7,7,4,4,5,2,6,3,6,3,4.875,5.22222222222222,47,0.703703703703704,39,0.645833333333333
"111",126,"George Eustace","MP",5,6,7,6,2,2,3,5,5,3,5,2,7,7,7,2,2,2,6,5,6,6,4.375,5.66666666666667,51,0.777777777777778,35,0.5625
"112",127,"Jeremy Corbyn","labour Party Leader",5,5,1,2,1,4,1,2,1,5,1,4,3,3,1,4,6,3,4,3,4,2,2,2.77777777777778,25,0.296296296296296,16,0.166666666666667
"113",128,"Mrs x","Headteacher of primary school",4,1,1,6,5,1,1,4,1,4,1,1,5,5,3,2,2,7,7,4,7,6,2.75,5.22222222222222,47,0.703703703703704,22,0.291666666666667
"114",129,"Mrs Sanderson","Headmistress of local school",6,2,4,6,4,2,2,6,2,2,2,2,6,6,5,1,1,6,6,6,6,7,3.375,6,54,0.833333333333333,27,0.395833333333333
"115",130,"Anne Carlisle","VC of Falmouth Uni",3,4,6,3,6,6,6,2,6,1,3,2,5,5,4,3,6,4,2,7,6,2,5.375,3.33333333333333,30,0.388888888888889,43,0.729166666666667
"116",131,"Richard Stallman","free software advocate & software developer",6,2,1,5,4,2,1,6,4,5,2,1,6,7,6,1,2,6,6,3,7,6,2.875,6,54,0.833333333333333,23,0.3125
"117",132,"Eddie Home","Football Club Ma999ger",7,2,4,6,4,1,3,7,5,1,5,4,6,7,3,1,1,6,7,7,4,7,4.125,6.22222222222222,56,0.87037037037037,33,0.520833333333333
"118",133,"Dr Nigel Hewitt","Director of a Charity",6,6,2,4,1,2,1,7,1,4,2,6,7,7,5,1,2,2,6,4,2,6,1.75,5.55555555555556,50,0.759259259259259,14,0.125
"119",134,"Boris Johnson","Foreign Minister",1,7,7,5,7,6,7,2,7,1,2,1,4,3,2,6,6,1,2,7,7,2,6.25,2.44444444444444,22,0.240740740740741,50,0.875
"120",135,"Theresa May","Prime Minister",4,5,3,5,6,4,2,4,4,6,3,3,2,2,2,3,5,3,4,2,5,3,3.5,3.22222222222222,29,0.37037037037037,28,0.416666666666667
"121",136,"Dr Peter Rodgers","GP/chairman of tennis club",6,2,1,5,1,2,2,6,1,6,2,6,7,6,6,1,1,6,6,2,2,7,1.5,6.11111111111111,55,0.851851851851852,12,0.0833333333333333
"122",137,"Jeremy Corbyn","Labour Party Leader",7,2,4,6,5,2,5,6,6,7,6,5,7,6,7,2,4,6,6,1,3,4,4,6.11111111111111,55,0.851851851851852,32,0.5
"123",138,"Ben Towe","Head Teacher",5,3,5,4,2,2,1,5,6,5,2,2,4,5,5,1,2,5,6,3,6,6,3.25,5,45,0.666666666666667,26,0.375
"124",139,"Sheryll Murray","Local MP",1,7,7,4,7,7,6,3,7,1,1,1,1,2,4,1,4,1,1,7,7,4,5.375,2.33333333333333,21,0.222222222222222,43,0.729166666666667
"125",140,"Carl Sagan","SETI, attack on superstition, novel Contact",4,1,1,4,4,4,1,4,1,3,1,4,4,7,7,1,4,7,4,5,4,4,2.25,5,45,0.666666666666667,18,0.208333333333333
"126",141,"Jenny","Artist/musician",6,4,6,6,6,2,5,5,5,2,4,3,7,7,6,4,2,4,6,6,5,6,5.125,5.88888888888889,53,0.814814814814815,41,0.6875
"127",142,"Ozzy Osbourne","Rock Star Supreme",4,4,6,3,6,6,2,3,5,2,2,1,5,6,1,1,2,4,2,6,7,6,4.375,3.77777777777778,34,0.462962962962963,35,0.5625
"128",143,"Sarah Newton","Tory MP Truro & Falmouth",4,7,7,6,7,7,7,1,7,2,1,1,3,1,1,2,7,1,1,6,7,1,5.5,2.11111111111111,19,0.185185185185185,44,0.75
"129",144,"Paul","Inter999tio999l project director",5,3,2,4,2,2,2,6,2,3,2,2,7,7,6,1,2,5,6,5,6,6,2.75,5.77777777777778,52,0.796296296296296,22,0.291666666666667
"130",145,"Jeremy Corbyn","Leader of the opposition",4,4,3,4,2,4,1,4,4,6,3,4,4,4,5,4,3,4,4,2,4,5,2.875,4.22222222222222,38,0.537037037037037,23,0.3125
"131",146,"Jeremy Corbyn","Leader of the labour party",6,2,4,5,4,2,3,7,1,5,7,4,7,7,7,1,1,6,6,3,4,7,3.375,6.44444444444444,58,0.907407407407407,27,0.395833333333333
"132",147,"David Attenborough","999turalist",7,2,1,7,2,5,1,7,5,3,4,6,7,7,7,1,2,6,3,5,2,6,2.625,6.33333333333333,57,0.888888888888889,21,0.270833333333333
"133",148,"Jeremy Corbyn","Leader of opposition",7,7,5,7,4,4,3,7,5,5,5,5,6,7,7,3,3,1,4,3,3,5,3.875,5.66666666666667,51,0.777777777777778,31,0.479166666666667
"134",149,"Michael Gove","M.P.",2,6,6,4,5,5,6,2,5,2,5,2,2,4,1,4,4,2,3,6,6,4,5.375,2.66666666666667,24,0.277777777777778,43,0.729166666666667
"135",150,"The Prime Minister","The Prime Minister",4,3,4,5,4,4,6,5,5,3,4,2,5,6,5,5,4,5,4,5,6,4,4.875,4.77777777777778,43,0.62962962962963,39,0.645833333333333
"136",151,"Mrs May","Prime Minister",1,3,7,4,7,4,5,2,6,5,4,1,3,2,1,1,4,5,4,3,7,4,5,2.88888888888889,26,0.314814814814815,40,0.666666666666667
"137",152,"The Queen","Mo999rch",7,1,4,6,1,1,1,1,1,4,1,4,7,7,4,1,1,7,7,4,4,7,2.125,5.88888888888889,53,0.814814814814815,17,0.1875
"138",153,"Robin Kneebone","President of Cornwall Chess Association",7,1,4,5,5,2,4,7,4,2,2,4,6,7,7,1,2,7,6,6,4,6,3.75,6.44444444444444,58,0.907407407407407,30,0.458333333333333
"139",154,"Richard Smith ","Chess club secretary + local accountant",6,3,3,6,2,2,4,6,2,3,3,5,7,7,6,2,2,5,6,5,3,6,3,6.11111111111111,55,0.851851851851852,24,0.333333333333333
"140",155,"Dennis Skinner","MP For Bolsever",4,4,4,4,3,4,4,4,2,1,4,4,6,6,1,1,4,4,4,7,4,4,3.625,4.11111111111111,37,0.518518518518518,29,0.4375
"141",156,"David Attenborough","Tv presenter ",7,2,4,7,2,1,2,7,3,4,4,5,6,7,6,1,2,6,7,4,3,6,2.875,6.55555555555556,59,0.925925925925926,23,0.3125
"142",157,"Captain Holt","Captain of Police (Brooklyn 99)",6,5,4,7,2,1,2,6,4,2,5,2,5,7,5,3,4,3,7,6,6,4,4,5.55555555555556,50,0.759259259259259,32,0.5
"143",158,"Deborah Francis-White","Leads the Guilty Feminist Podcast",5,2,3,2,1,2,1,4,2,3,1,1,5,4,5,1,4,6,6,5,7,4,2.625,4.55555555555556,41,0.592592592592593,21,0.270833333333333
"144",160,"Henry Bew","Head of English Department",7,2,2,6,1,1,1,6,2,7,2,3,7,6,7,1,1,6,7,1,5,7,1.875,6.55555555555556,59,0.925925925925926,15,0.145833333333333
