"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"48",59,59,69,14,"ActivePlus St Ives",1925,93,"F",1,26,20,-6,20,2,0,0,0,0,0,1,0.125,7,1.75,0.666666666666667,1,-2.625,4,-1.49264705882353,46.5147058823529,0
"49",60,60,70,14,"ActivePlus St Ives",1929,89,"F",1,23,20,-3,20,2,1,0,0,0,0,0.703703703703704,0.583333333333333,5.22222222222222,4.5,0.833333333333333,0.833333333333333,-5.625,4,1.50735294117647,42.5147058823529,0
"50",61,61,71,15,"Active Plus Clies",1929,89,"M",0,26,30,4,32,7,0,75,0,0,0,0.444444444444444,0.229166666666667,3.66666666666667,2.375,0.305555555555556,0.75,-2.625,5,8.50735294117647,42.5147058823529,1
"51",62,62,72,15,"Active Plus Clies",1942,76,"F",1,28,24,-4,32,7,0,75,0,0,0,0.768518518518518,0.270833333333333,5.61111111111111,2.625,0.777777777777778,0.958333333333333,-0.625,5,0.507352941176471,29.5147058823529,0
"52",63,63,73,15,"Active Plus Clies",1928,90,"F",1,22,20,-2,32,7,0,75,0,0,0,0.660493827160494,0.284722222222222,4.96296296296296,2.70833333333333,0.5,0.944444444444444,-6.625,5,2.50735294117647,43.5147058823529,0
"53",64,64,74,15,"Active Plus Clies",1938,80,"F",1,29,20,-9,32,7,0,75,0,0,0,0.574074074074074,0.319444444444445,4.44444444444445,2.91666666666667,0.703703703703704,0.916666666666667,0.375,5,-4.49264705882353,33.5147058823529,0
"54",65,65,75,15,"Active Plus Clies",1931,87,"M",0,33,24,-9,32,7,1,75,1,0,0,0.783950617283951,0.395833333333333,5.7037037037037,3.375,0.907407407407407,0.972222222222222,4.375,5,-4.49264705882353,40.5147058823529,0
"55",66,66,76,16,"PsychSoc Streatham G1",1996,22,"M",0,29,25,-4,34,4,0,76,1,0,0,0.689814814814815,0.208333333333333,5.13888888888889,2.25,0.458333333333333,0.791666666666667,0.375,6,0.507352941176471,-24.4852941176471,0
"56",67,67,77,16,"PsychSoc Streatham G1",1997,21,"F",1,29,28,-1,34,4,0,76,0,0,0,0.672839506172839,0.284722222222222,5.03703703703704,2.70833333333333,0.555555555555556,0.75,0.375,6,3.50735294117647,-25.4852941176471,0
"57",68,68,78,16,"PsychSoc Streatham G1",1996,22,"F",1,33,29,-4,34,4,0,76,0,0,0,0.783950617283951,0.194444444444445,5.7037037037037,2.16666666666667,0.833333333333333,0.805555555555556,4.375,6,0.507352941176471,-24.4852941176471,0
